Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,class
1,3,2,1,77,11,3,0,0,1,0,-1,9,1
2,1,1,1,42,7,3,0,0,0,0,-1,9,1
1,3,2,1,18,4,3,0,0,2,0,-1,9,3
1,1,3,1,50,8,3,1,3,0,0,-1,0,1
2,1,1,2,31,6,3,0,0,0,0,-1,9,1
1,1,1,1,23,5,3,0,0,0,0,-1,9,1
1,1,2,2,82,11,3,0,0,0,3,-1,11,1
1,1,3,1,51,8,2,5,3,0,0,-1,0,-1
1,1,1,1,21,5,2,0,0,0,0,-1,9,2
1,3,2,2,19,4,3,0,0,1,0,-1,9,-1
1,1,3,1,6,2,2,5,2,0,0,-1,0,1
1,1,1,2,28,6,3,0,0,0,0,-1,1,1
1,1,1,2,47,8,3,0,0,0,0,-1,9,-1
2,2,2,1,20,4,3,0,0,1,0,-1,9,1
2,2,1,1,34,6,2,0,0,0,0,-1,5,1
2,3,2,2,10,2,3,0,0,1,0,-1,9,-1
2,1,1,1,61,9,3,0,0,0,0,-1,9,1
2,1,1,1,23,5,3,0,0,0,0,-1,9,1
1,1,2,1,29,6,3,0,0,0,3,-1,11,1
1,1,3,1,23,5,3,9,5,0,0,-1,0,1
1,1,1,1,26,6,3,0,0,0,0,-1,9,1
1,3,2,1,23,5,3,0,0,2,0,-1,9,2
1,1,1,2,54,8,3,0,0,0,0,-1,9,1
1,1,1,1,39,7,3,0,0,0,0,-1,8,1
1,1,1,1,18,4,3,0,0,0,0,-1,3,1
1,1,1,1,17,4,3,0,0,0,0,-1,9,1
1,2,2,1,18,4,2,0,0,1,0,-1,9,2
1,1,1,2,42,7,3,0,0,0,0,-1,9,1
1,1,2,2,22,5,3,0,0,1,0,-1,9,-1
2,2,1,2,32,6,3,0,0,0,0,-1,90,-1
2,1,1,1,34,6,3,0,0,0,0,-1,9,3
4,3,2,2,46,8,3,0,0,1,0,-1,9,3
1,1,1,1,38,7,3,0,0,0,0,-1,9,1
1,1,1,1,38,7,3,0,0,0,0,-1,9,1
1,1,3,1,35,6,2,4,1,0,0,-1,0,-1
2,1,1,2,24,5,3,0,0,0,0,-1,9,3
2,2,1,1,25,5,3,0,0,0,0,-1,19,1
2,1,2,1,48,8,3,0,0,0,4,-1,11,-1
1,1,1,2,61,9,3,0,0,0,0,-1,1,-1
1,1,1,1,50,8,3,0,0,0,0,-1,5,1
2,2,2,1,28,6,3,0,0,1,0,-1,9,1
2,5,2,1,22,5,3,0,0,2,0,-1,9,1
1,1,1,1,52,8,2,0,0,0,0,-1,5,1
